"pbc_id","client_pbc_name","reviewed_name","pbc_spec","pbc_kind","pbc_file_format","related_pbc_ids","iuc_or_system","cycle","source","notes","updated_at"
"PBC-EC-109","系統開發/程式修改相關單據及記錄","系統開發/程式修改相關單據及記錄","請提供下列需求來源各一筆完整流程之相關單據（如：資訊開發需求申請單、TR單、DR單、mail及會議記錄)，所謂完整流程，表示某一需求的一開始到結束，全部的過程）
1.各部門需求
2.CEO需求
3.PM需求
4.IT自行解決或IT自提問題",NA,NA,"","系統開發/程式修改相關單據及記錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-110","系統工作分配排程看板（Excel）","系統工作分配排程看板（Excel）","",NA,NA,"","系統工作分配排程看板（Excel）","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-111","EPF系統(含所有子系統)之正式環境及測試環境畫面","EPF系統(含所有子系統)之正式環境及測試環境畫面","截圖須含桌面日期時間",NA,NA,"","EPF系統(含所有子系統)之正式環境及測試環境畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-112","EPF系統(含所有子系統)帳號權限清單","EPF系統(含所有子系統)帳號權限清單","1.清單產製時須提供篩選條件或SQL條件截圖畫面並含桌面日期時間(SQL語法: select * from 帳號權限相關之table表)
2.須註明各帳號之使用者及部門",NA,NA,"","EPF系統(含所有子系統)帳號權限清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-113","Oracle ERP重新導入之完整單據","Oracle ERP重新導入之完整單據","如：請購單／採購單／驗收單／TR單／其他可佐證之相關所有單據",NA,NA,"","Oracle ERP重新導入之完整單據","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-114","原始碼掃毒與資安檢測報告（Sonacube/Tenable.io）","原始碼掃毒與資安檢測報告（Sonacube/Tenable.io）","",NA,NA,"","原始碼掃毒與資安檢測報告（Sonacube/Tenable.io）","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-115","外購系統操作手冊","外購系統操作手冊","由外部廠商提供之系統操作手冊",NA,NA,"","外購系統操作手冊","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-116","Github Cloud版本歷程記錄畫面截圖","Github Cloud版本歷程記錄畫面截圖","",NA,NA,"","Github Cloud版本歷程記錄畫面截圖","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-117","Oracle ERP帳號清單","Oracle ERP帳號清單","須透過指令取得，可參考附件說明檔案",NA,NA,"","Oracle ERP帳號清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-118","MSSQL, MYSQL資料庫帳號清單","MSSQL, MYSQL資料庫帳號清單","須透過指令取得，可參考附件說明檔案",NA,NA,"","MSSQL, MYSQL資料庫帳號清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
